MEDIA_T_NATURE	theme	MEDIA	자연·생명
READ_SOC_LAW_SOCIAL	theme	READ_SOCIETY	사회법
SPEAK_T_NATURE	theme	SPEAK	자연·생명
WRITE_T_NATURE	theme	WRITE	자연·생명
READ_SOC_LAW_INTL	theme	READ_SOCIETY	국제법
READ_SOC_LAW_PROCEDURE	theme	READ_SOCIETY	사법제도·재판절차
READ_SOC_LAW_HISTORY	theme	READ_SOCIETY	법사·법제도사
GRAM_SE_COMPONENT	theme	GRAM_SENTENCE	문장 성분
MEDIA_T_LITERACY	theme	MEDIA	미디어 리터러시
READ_ART_DANCE_BALLET	theme	READ_ART	발레
READ_HUM_W_EPISTEM	theme	READ_HUMANITIES	인식론
READ_SCI_BIO_CELL	theme	READ_SCIENCE	세포·유전
READ_SOC_GEN_SOCIOL	theme	READ_SOCIETY	사회학
READ_TECH_MECH_AUTO	theme	READ_TECH	자동차
GRAM_SE_STRUCTURE	theme	GRAM_SENTENCE	문장 구조
MEDIA_T_AD_CONSUMER	theme	MEDIA	광고·소비
READ_ART_DANCE_MODERN	theme	READ_ART	현대무용
READ_HUM_W_ONTOL	theme	READ_HUMANITIES	존재론·형이상학
READ_SCI_BIO_EVOLUTION	theme	READ_SCIENCE	진화
READ_SOC_GEN_CULTURE	theme	READ_SOCIETY	문화
READ_TECH_MECH_AERO	theme	READ_TECH	항공·우주
GRAM_SE_TENSE	theme	GRAM_SENTENCE	시제·상·서법
MEDIA_T_FAKE_NEWS	theme	MEDIA	가짜뉴스
READ_ART_DANCE_KOREAN	theme	READ_ART	한국무용
READ_HUM_W_ETHICS	theme	READ_HUMANITIES	윤리학·가치론
READ_SCI_BIO_PHYSIOL	theme	READ_SCIENCE	생리
READ_SOC_GEN_FAMILY	theme	READ_SOCIETY	가족·인구
READ_TECH_MECH_ROBOT	theme	READ_TECH	로봇
GRAM_SE_VOICE	theme	GRAM_SENTENCE	능동·피동
READ_ART_DANCE_HISTORY	theme	READ_ART	무용사
READ_HUM_W_POLITICS	theme	READ_HUMANITIES	정치·사회철학
READ_SCI_BIO_ECOLOGY	theme	READ_SCIENCE	생태계
READ_SOC_GEN_CHANGE	theme	READ_SOCIETY	사회 변동
READ_TECH_MECH_MFG	theme	READ_TECH	제조·소재
GRAM_SE_CAUSATIVE	theme	GRAM_SENTENCE	사동·주동
READ_HUM_W_AESTHETIC	theme	READ_HUMANITIES	미학·예술철학
READ_SCI_BIO_OTHER	theme	READ_SCIENCE	기타 생명과학
READ_SOC_GEN_OTHER	theme	READ_SOCIETY	기타 사회
GRAM_SE_NEGATION	theme	GRAM_SENTENCE	부정 표현
READ_HUM_W_LOGIC	theme	READ_HUMANITIES	논리학·과학철학
GRAM_SE_QUOTATION	theme	GRAM_SENTENCE	인용
READ_HUM_W_LANG	theme	READ_HUMANITIES	언어·종교철학
READ_HUM_W_OTHER	theme	READ_HUMANITIES	기타 서양철학
GRAM_DS_STRUCTURE	theme	GRAM_DISCOURSE	담화 구조
READ_ART_FORM_DESIGN	theme	READ_ART	디자인
READ_HUM_KH_POLITICS	theme	READ_HUMANITIES	한국 정치사
READ_SCI_AST_SOLAR	theme	READ_SCIENCE	태양계
READ_SOC_GEO_NATURE	theme	READ_SOCIETY	자연지리
READ_TECH_MED_DRUG	theme	READ_TECH	약물·치료법
GRAM_DS_REFERENCE	theme	GRAM_DISCOURSE	지시·대용·접속
READ_ART_FORM_CRAFT	theme	READ_ART	공예
READ_HUM_KH_ECONOMY	theme	READ_HUMANITIES	한국 경제사
READ_SCI_AST_GALAXY	theme	READ_SCIENCE	별·은하
READ_SOC_GEO_HUMAN	theme	READ_SOCIETY	인문지리
READ_TECH_MED_DIAG	theme	READ_TECH	진단·검사
GRAM_DS_CONTEXT	theme	GRAM_DISCOURSE	발화·맥락
READ_ART_FORM_PHOTO	theme	READ_ART	사진·영상
READ_HUM_KH_THOUGHT	theme	READ_HUMANITIES	한국 사상사
READ_SCI_AST_COSMO	theme	READ_SCIENCE	우주론
READ_SOC_GEO_URBAN	theme	READ_SOCIETY	도시·촌락
READ_TECH_MED_DEVICE	theme	READ_TECH	의료기기
GRAM_DS_COHESION	theme	GRAM_DISCOURSE	응집성과 통일성
READ_ART_FORM_OTHER	theme	READ_ART	기타 조형
READ_HUM_KH_CULTURE	theme	READ_HUMANITIES	한국 문화·예술사
READ_SOC_GEO_ENV	theme	READ_SOCIETY	환경·기후
READ_TECH_MED_PUBLIC	theme	READ_TECH	공중보건·역학
READ_HUM_KH_LIFE	theme	READ_HUMANITIES	한국 생활·풍속사
READ_TECH_MED_OTHER	theme	READ_TECH	기타 의약학
GRAM_HS_HUNMIN	theme	GRAM_HISTORY	훈민정음
READ_HUM_WH_POLITICS	theme	READ_HUMANITIES	세계 정치·외교사
READ_SCI_EAR_GEOLOGY	theme	READ_SCIENCE	지질
READ_SOC_POL_THOUGHT	theme	READ_SOCIETY	정치사상
READ_TECH_ARCH_STRUCT	theme	READ_TECH	구조
GRAM_HS_MEDIEVAL	theme	GRAM_HISTORY	중세 국어
READ_HUM_WH_ECONOMY	theme	READ_HUMANITIES	세계 경제·산업사
READ_SCI_EAR_ATMOS	theme	READ_SCIENCE	대기
READ_SOC_POL_INTL	theme	READ_SOCIETY	국제정치
READ_TECH_ARCH_MATERIAL	theme	READ_TECH	재료
GRAM_HS_MODERN_PRE	theme	GRAM_HISTORY	근대 국어
READ_HUM_WH_THOUGHT	theme	READ_HUMANITIES	세계 사상·종교사
READ_SCI_EAR_OCEAN	theme	READ_SCIENCE	해양
READ_SOC_POL_ELECTION	theme	READ_SOCIETY	선거·정당
READ_TECH_ARCH_URBAN	theme	READ_TECH	도시계획
GRAM_HS_PHONOLOGY	theme	GRAM_HISTORY	음운 변천
READ_HUM_WH_CULTURE	theme	READ_HUMANITIES	세계 문화·예술사
READ_SCI_EAR_WEATHER	theme	READ_SCIENCE	기상
READ_SOC_POL_POWER	theme	READ_SOCIETY	권력구조
READ_TECH_ARCH_GREEN	theme	READ_TECH	친환경 건축
GRAM_HS_GRAMMAR	theme	GRAM_HISTORY	문법 변천
READ_HUM_WH_LIFE	theme	READ_HUMANITIES	세계 생활·과학기술사
READ_SCI_EAR_OTHER	theme	READ_SCIENCE	기타 지구과학
GRAM_HS_LEXICAL	theme	GRAM_HISTORY	어휘 변천
READ_HUM_AES_PHIL	theme	READ_HUMANITIES	예술철학
READ_HUM_AES_EXP	theme	READ_HUMANITIES	미적 경험
READ_HUM_AES_NATURE	theme	READ_HUMANITIES	미의 본질
READ_HUM_AES_THEORY	theme	READ_HUMANITIES	미학 이론
READ_HUM_AES_OTHER	theme	READ_HUMANITIES	기타 미학
MEDIA_T_ETC	theme	MEDIA	기타
SPEAK_T_ETC	theme	SPEAK	기타
WRITE_T_ETC	theme	WRITE	기타
GRAM_PHONOLOGY	sub_area	GRAM	음운
LIT_MODERN_POETRY	sub_area	LIT	현대시
MEDIA_PRINT	sub_area	MEDIA	인쇄 매체 (신문/잡지)
READ_HUMANITIES	sub_area	READ	인문
SPEAK_PRESENT	sub_area	SPEAK	발표/강연
WRITE_PROPOSAL	sub_area	WRITE	건의문
GRAM_WORD	sub_area	GRAM	단어
LIT_CLASSIC_POETRY	sub_area	LIT	고전시가
