Test,Answered,Accuracy,Correct_Cnt,TCI,Final_Level,어휘력,문장 독해력,구조 독해력,논리 사고력,어법·문법 능력,국어 개념 적용 능력,국어 관련 배경지식,비문학 배경지식,문제 분석 및 전략 수립 능력,선택지 분석 및 전략 수립 능력
Sohssure,20,40%,8,46.55,Sohssure 2,34.0,49.0,46.5,41.0,50.0,50.0,51.0,44.0,50.0,50.0
Sohssure,20,60%,12,51.35,Sohssure 2,48.5,53.5,50.5,54.5,53.5,52.0,50.0,51.0,50.0,50.0
Sohssure,20,80%,16,54.95,Sohssure 2,57.0,62.5,50.0,68.5,57.0,50.0,51.0,53.5,50.0,50.0
Sohssure,20,100%,20,61.55,Sohssure 3,67.5,78.0,60.5,78.0,64.0,57.0,53.5,57.0,50.0,50.0
Sohssure,30,20%,6,37.25,Sohssure 1,42.1,5.5,42.5,8.0,44.9,45.0,47.5,37.0,50.0,50.0
Sohssure,30,40%,12,46.6,Sohssure 2,54.5,37.0,45.0,25.0,60.5,53.5,47.5,43.0,50.0,50.0
Sohssure,30,60%,18,52.05,Sohssure 2,54.5,62.5,44.5,31.0,64.0,57.0,50.0,57.0,50.0,50.0
Sohssure,30,80%,24,58.55,Sohssure 3,67.5,84.5,48.5,65.5,64.0,53.5,47.5,54.5,50.0,50.0
Sohssure,30,100%,30,66.2,Frege 1 (Promoted),67.5,100,64.0,99.0,64.0,57.0,53.5,57.0,50.0,50.0
Sohssure,40,20%,8,35.73,Sohssure 1,14.4,9.0,45.5,0,48.9,53.5,47.5,38.5,50.0,50.0
Sohssure,40,40%,16,43.65,Sohssure 1,30.5,23.5,54.0,33.0,49.5,53.5,53.5,39.0,50.0,50.0
Sohssure,40,60%,24,53.95,Sohssure 2,53.5,51.5,57.0,54.5,61.5,60.5,53.5,47.5,50.0,50.0
Sohssure,40,80%,32,61.5,Sohssure 3,63.5,75.0,67.5,68.5,71.0,60.5,47.5,61.5,50.0,50.0
Sohssure,40,100%,40,69.1,Frege 1 (Promoted),85.0,100,71.0,100,64.0,60.5,50.0,60.5,50.0,50.0
Sohssure,50,20%,10,31.95,Sohssure 1 (Foundation),0,4.5,36.0,6.0,47.5,45.0,47.5,33.0,50.0,50.0
Sohssure,50,40%,20,41.4,Sohssure 1,43.0,28.5,47.5,1.0,48.5,57.0,50.0,38.5,50.0,50.0
Sohssure,50,60%,30,52.85,Sohssure 2,49.0,60.5,58.0,65.0,47.5,57.0,51.0,40.5,50.0,50.0
Sohssure,50,80%,40,65.8,Frege 1 (Promoted),75.0,95.0,61.5,83.5,78.0,60.5,50.0,54.5,50.0,50.0
Sohssure,50,100%,50,72.6,Frege 1 (Promoted),95.5,100,71.0,100,78.0,64.0,53.5,64.0,50.0,50.0
Sohssure,20,20%,4,42.5,Sohssure 1,31.6,23.5,50.0,33.0,45.4,50.0,50.0,41.5,50.0,50.0
Sohssure,20,40%,8,47.25,Sohssure 2,38.5,39.5,48.0,41.5,50.0,53.5,53.5,48.0,50.0,50.0
Sohssure,20,60%,12,52.55,Sohssure 2,46.0,51.5,57.5,51.0,64.0,53.5,50.0,52.0,50.0,50.0
Sohssure,20,80%,16,55.85,Sohssure 3,53.0,72.0,53.5,71.0,64.0,48.5,46.5,50.0,50.0,50.0
Sohssure,20,100%,20,60.85,Sohssure 3,81.5,74.5,57.0,60.5,71.0,57.0,50.0,57.0,50.0,50.0
Sohssure,30,20%,6,39.9,Sohssure 1,31.5,28.5,54.5,16.5,47.0,41.5,47.5,32.0,50.0,50.0
Sohssure,30,40%,12,45.85,Sohssure 2,46.5,35.5,39.5,29.0,54.5,53.5,51.0,49.0,50.0,50.0
Sohssure,30,60%,18,53.7,Sohssure 2,54.5,68.5,44.5,54.0,64.0,57.0,50.0,44.5,50.0,50.0
Sohssure,30,80%,24,60.65,Sohssure 3,59.0,73.5,64.0,78.5,64.0,53.5,53.5,60.5,50.0,50.0
Sohssure,30,100%,30,65.4,Frege 1 (Promoted),81.5,95.5,64.0,78.0,71.0,60.5,53.5,50.0,50.0,50.0
Sohssure,40,20%,8,35.85,Sohssure 1,34.0,6.5,34.5,0,53.0,50.0,50.0,30.5,50.0,50.0
Sohssure,40,40%,16,44.42,Sohssure 1,40.5,30.1,45.5,22.0,53.1,52.0,47.0,54.0,50.0,50.0
Sohssure,40,60%,24,52.67,Sohssure 2,59.5,53.1,58.0,46.0,62.6,55.5,47.0,45.0,50.0,50.0
Sohssure,40,80%,32,63.1,Sohssure 3,70.5,91.5,58.0,79.5,60.5,60.5,53.5,57.0,50.0,50.0
Sohssure,40,100%,40,68.65,Frege 1 (Promoted),81.5,100,64.0,99.0,71.0,64.0,50.0,57.0,50.0,50.0
Sohssure,50,20%,10,32.2,Sohssure 1 (Foundation),16.0,16.5,27.5,0,52.0,45.0,47.0,18.0,50.0,50.0
Sohssure,50,40%,20,43.1,Sohssure 1,34.0,21.5,67.5,17.5,47.5,64.0,47.0,32.0,50.0,50.0
Sohssure,50,60%,30,52.65,Sohssure 2,61.5,60.5,45.5,58.0,58.0,50.0,48.5,44.5,50.0,50.0
Sohssure,50,80%,40,67.2,Frege 1 (Promoted),80.5,100,61.5,96.0,78.0,57.0,47.0,52.0,50.0,50.0
Sohssure,50,100%,50,72.6,Frege 1 (Promoted),95.5,100,71.0,100,78.0,64.0,53.5,64.0,50.0,50.0
Frege,20,20%,4,43.64,Frege 1,51.0,33.0,38.0,29.5,50.7,47.2,53.5,33.5,50.0,50.0
Frege,20,40%,8,49.0,Frege 2,47.5,40.5,53.5,45.0,53.5,54.5,53.5,42.0,50.0,50.0
Frege,20,60%,12,51.99,Frege 2,64.0,63.5,43.5,51.5,54.2,54.2,50.0,39.0,50.0,50.0
Frege,20,80%,16,58.8,Frege 3,64.0,69.5,53.5,61.0,71.0,61.5,57.0,50.5,50.0,50.0
Frege,20,100%,20,63.3,Frege 3,60.5,88.5,57.0,78.0,64.0,64.0,64.0,57.0,50.0,50.0
Frege,30,20%,6,40.04,Frege 1,33.5,6.5,44.5,24.5,46.7,47.7,53.5,43.5,50.0,50.0
Frege,30,40%,12,48.9,Frege 2,54.0,26.0,47.5,42.5,70.0,61.5,53.5,34.0,50.0,50.0
Frege,30,60%,18,54.0,Frege 2,44.5,70.0,51.0,56.0,58.0,60.5,57.0,43.0,50.0,50.0
